start_age,estimate,year,state
0,4422,2006,North Carolina
4,5609,2006,North Carolina
6,4588,2006,North Carolina
0,6504,2007,North Carolina
4,5724,2007,North Carolina
6,4682,2007,North Carolina
0,6504,2008,North Carolina
4,5724,2008,North Carolina
6,4682,2008,North Carolina
0,6600,2009,North Carolina
4,5760,2009,North Carolina
6,4732,2009,North Carolina
0,6600,2010,North Carolina
4,5750,2010,North Carolina
6,4750,2010,North Carolina
0,7106,2011,North Carolina
4,6227,2011,North Carolina
6,4452,2011,North Carolina
0,7171,2012,North Carolina
4,6304,2012,North Carolina
6,4584,2012,North Carolina
0,6828,2013,North Carolina
4,5826,2013,North Carolina
6,3641,2013,North Carolina
0,6939,2014,North Carolina
4,5920,2014,North Carolina
6,3700,2014,North Carolina
0,7412,2015,North Carolina
4,6548,2015,North Carolina
6,4481,2015,North Carolina
0,7506,2016,North Carolina
4,6839,2016,North Carolina
6,4525,2016,North Carolina
0,7666,2017,North Carolina
4,7198,2017,North Carolina
6,4609,2017,North Carolina
0,7853,2018,North Carolina
4,7373,2018,North Carolina
6,4721,2018,North Carolina
